SAMPID,XPT,YPT,ZPT,Thickness (cm),Pt (g/t),Ni (%),Cu (%)
1018,9431.335,-3965.56628,0,120,11.28166667,0.1483,0.0488
867,9376.23035,-4036.08704,0,120,11.89166667,0.1483,0.0488
831,9362.39405,-4073.6672,0,120,12.115,0.1483,0.0488
1110,9460.85295,-3921.1772,0,120,12.9275,0.1483,0.0488
1229,9490.75,-3509.56,0,113,7.635752212,0.14319,0.04887
215,8395.95,-3420.32,0,120,2.565,0.229,0.049
281,8492.85,-4103.88,0,92,0.283967391,0.08202,0.04924
1239,9494.15,-3732.2,0,111,7.809369369,0.11682,0.04947
46,8173.25,-4060.64,0,120,1.851666667,0.1115,0.0495
1201,9485.65,-3516,0,115,6.561086957,0.14565,0.04965
389,8655.2,-3303.48,0,80,6.50125,0.0725,0.05
1303,9512.85,-3343.04,0,70,14.67857143,0.115,0.05
978,9421.05,-3541.76,0,111,9.791351351,0.14598,0.05001
105,8236.8946,-4087.81312,0,115,2.332630435,0.1352,0.050125
649,9239.15,-3576.72,0,114,14.7754386,0.11958,0.05043
497,8775.05,-4145.28,0,103,9.766019417,0.136755,0.050465
8,8091.65,-3795.68,0,130,3.244615385,0.077,0.0505
1200,9485.65,-3517.84,0,120,9.839375,0.12,0.0505
798,9346.7923,-3946.537,0,120,8.746666667,0.15,0.0507
553,8878.75,-3195.84,0,44,7.439090909,0.0823,0.0509
1234,9492.45,-3719.32,0,116,5.793232759,0.12142,0.05107
862,9373.5095,-4001.14544,0,139,6.447647482,0.15642,0.05107
493,8771.65,-3378,0,90,5.224444444,0.12,0.0515
684,9286.75,-3888.6,0,120,3.355,0.1503,0.052
712,9312.25,-3881.24,0,120,4.406666667,0.1503,0.052
1273,9505.2,-3732.2,0,120,4.551666667,0.1503,0.052
719,9315.65,-3946.56,0,120,5.07,0.1503,0.052
1017,9431.25,-3539,0,120,6.461666667,0.1503,0.052
661,9261.25,-3540.84,0,120,8.975,0.1503,0.052
729,9321.6,-3951.16,0,120,10.87166667,0.1503,0.052
1088,9452.5,-3459.88,0,119,13.41584034,0.12418,0.05203
806,9349.65,-3930.92,0,135,9.332962963,0.1569,0.05205
1013,9429.55,-3507.72,0,120,7.132291667,0.12385,0.0521
901,9393.85,-3814.08,0,120,8.666666667,0.1538,0.0521
133,8259.1,-3720.24,0,112,1.111785714,0.0781,0.0523
1043,9438.05,-3780.04,0,120,5.574125,0.1251,0.05235
762,9331.8,-3942.88,0,120,6.313333333,0.1251,0.05235
1242,9495,-3703.68,0,120,8.533333333,0.1251,0.05235
942,9411.33365,-3821.24496,0,136,8.296029412,0.11663,0.05236
886,9383.5242,-4058.50652,0,130,5.453153846,0.1601,0.0524
884,9383.0193,-4029.37012,0,130,5.582307692,0.1601,0.0524
991,9425.57115,-3905.2152,0,130,7.256923077,0.1601,0.0524
1090,9452.97515,-3976.8786,0,130,8.317692308,0.1601,0.0524
919,9401.398,-3940.93788,0,130,8.43,0.1601,0.0524
856,9370.96885,-4082.4946,0,130,9.599230769,0.1601,0.0524
742,9325.44285,-4078.82472,0,130,9.813846154,0.1601,0.0524
75,8207.25,-4106.64,0,110,7.782727273,0.148,0.0526
1241,9494.7161,-3806.82672,0,130,4.248461538,0.1495,0.0526
255,8455.45,-4068.92,0,124,0.87716129,0.14674,0.05262
1007,9428.4382,-3948.13596,0,131,3.108862595,0.16128,0.05276
